ssgrp_nom,meal_name,test_name,test_value,meal_value
salades composées et crudités,"Salade de thon et légumes, appertisée",Phosphore P,-45,"88,4"
salades composées et crudités,"Salade composée avec viande ou poisson, appertisée",Phosphore P,-45,92
salades composées et crudités,"Champignons à la grecque, appertisés",Phosphore P,-45,"64,1"
salades composées et crudités,"Salade de pommes de terre, fait maison",Phosphore P,-45,52
salades composées et crudités,"Taboulé ou Salade de couscous, préemballé",Phosphore P,-45,80
salades composées et crudités,"Salade de pomme de terre à la piémontaise, préemballée",Phosphore P,-45,72
salades composées et crudités,"Salade de riz, appertisée",Phosphore P,-45,"66,6"
salades composées et crudités,"Salade de pâtes, végétarienne",Phosphore P,-45,37
salades composées et crudités,"Crudité, sans assaisonnement (aliment moyen)",Phosphore P,-45,"25,6"
salades composées et crudités,"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",Phosphore P,-45,"69,4"
salades composées et crudités,"Macédoine de légumes en salade, avec sauce, préemballée",Phosphore P,-45,-
salades composées et crudités,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",Phosphore P,-45,150
salades composées et crudités,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",Phosphore P,-45,110
salades composées et crudités,"Carottes râpées, avec sauce, préemballées",Phosphore P,-45,-
salades composées et crudités,"Salade de betterave, avec sauce, préemballée",Phosphore P,-45,-
salades composées et crudités,"Salade de chou ou Coleslaw, avec sauce, préemballée",Phosphore P,-45,29
salades composées et crudités,"Salade de concombre à la crème/fromage blanc, préemballée",Phosphore P,-45,-
salades composées et crudités,"Salade de lentilles et saucisse fumée, préemballée",Phosphore P,-45,-
salades composées et crudités,"Salade grecque, avec sauce, préemballée",Phosphore P,-45,-
salades composées et crudités,"Salade de riz à la niçoise, avec sauce, préemballée",Phosphore P,-45,-
salades composées et crudités,"Taboulé ou Salade de couscous au poulet, préemballé",Phosphore P,-45,100
soupes,"Soupe aux lentilles, préemballée à réchauffer",Phosphore P,-45,74
soupes,"Soupe à la volaille et aux légumes, préemballée à réchauffer",Phosphore P,-45,-
soupes,"Soupe aux légumes variés, préemballée à réchauffer",Phosphore P,-45,19
soupes,"Soupe de poissons et / ou crustacés, préemballée à réchauffer",Phosphore P,-45,80
soupes,"Soupe aux légumes variés, déshydratée reconstituée",Phosphore P,-45,"12,5"
soupes,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",Phosphore P,-45,16
soupes,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",Phosphore P,-45,17
soupes,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",Phosphore P,-45,1
soupes,"Soupe à l'oignon, préemballée à réchauffer",Phosphore P,-45,4
soupes,"Soupe aux champignons, préemballée à réchauffer",Phosphore P,-45,12
soupes,"Soupe à la carotte, préemballée à réchauffer",Phosphore P,-45,20
soupes,"Soupe à la tomate, préemballée à réchauffer",Phosphore P,-45,15
soupes,"Soupe chorba frik, à base de viande et de frik",Phosphore P,-45,54
soupes,"Soupe minestrone, préemballée à réchauffer",Phosphore P,-45,"34,5"
soupes,"Soupe au pistou, déshydratée reconstituée",Phosphore P,-45,24
soupes,"Soupe de poissons et / ou crustacés, déshydratée reconstituée",Phosphore P,-45,0
soupes,"Soupe asiatique, avec pâtes, déshydratée reconstituée",Phosphore P,-45,-
