ssgrp_nom,Food name,Calcium Ca,Cuivre Cu,Fer Fe,Iode I,Manganèse Mn,Phosphore P,Potassium K,Sélénium Se,Sodium Na,Zinc Zn,Vitamine E,Vitamine C ,Vitamine B6 ,Vitamine B9 ,Vitamine B12 
salades composées et crudités,"Salade de thon et légumes, appertisée","20,7","0,1","1,1",2,"0,1","88,4",232,-,445,"0,6","1,6","2,75","0,29",31,"1,45"
salades composées et crudités,"Salade composée avec viande ou poisson, appertisée",22,"0,07","0,7",< 20,"0,1",92,220,30,381,"0,38","2,04",-,"0,12","11,1","1,23"
salades composées et crudités,"Champignons à la grecque, appertisés",27,"0,17","1,06","2,46","0,13","64,1",277,"1,79",500,"0,4","1,08","6,67","0,088","19,6","0,018"
salades composées et crudités,"Salade de pommes de terre, fait maison",19,"0,12","0,65",-,"0,1",52,254,-,529,"0,31",-,10,"0,14",7,0
salades composées et crudités,"Taboulé ou Salade de couscous, préemballé",24,"0,16","0,88",< 20,"0,4",80,210,< 20,399,"0,65","1,26","6,27","0,052","14,5",0
salades composées et crudités,"Salade de pomme de terre à la piémontaise, préemballée",13,"0,07","0,43",< 20,"0,08",72,300,< 20,433,"0,49","3,96","21,6","0,099","21,6",-
salades composées et crudités,"Salade de riz, appertisée","23,3","< 0,1","0,43",< 5,"0,1","66,6",143,"17,7",431,"0,3","1,63","4,48","0,13","33,5","0,43"
salades composées et crudités,"Salade de pâtes, végétarienne",14,"0,06","0,6",4,"0,2",37,84,-,51,"0,4","1,95",21,"0,09",16,0
salades composées et crudités,"Crudité, sans assaisonnement (aliment moyen)","25,1","0,048","0,42","7,21","0,17","25,6",241,"7,79","12,5","0,17","0,34","12,2","0,082","38,8",0
salades composées et crudités,"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",19,"0,085","0,95","3,13","0,15","69,4",193,"5,3",378,"0,53","1,18","12,3","0,14","18,4","0,14"
salades composées et crudités,"Macédoine de légumes en salade, avec sauce, préemballée",-,-,-,-,-,-,-,-,426,-,-,-,-,-,-
salades composées et crudités,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",100,"0,11","0,5",< 20,"0,15",150,300,< 20,301,"0,69","2,24","1,11","0,094","29,3","0,48"
salades composées et crudités,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",37,"0,16","1,2",< 20,"0,62",110,140,< 20,309,"0,77","2,67","< 0,5","0,059","22,1",-
salades composées et crudités,"Carottes râpées, avec sauce, préemballées",31,-,-,-,-,-,-,-,264,-,-,-,-,-,-
salades composées et crudités,"Salade de betterave, avec sauce, préemballée",21,-,4,-,-,-,-,-,280,-,-,5,-,-,-
salades composées et crudités,"Salade de chou ou Coleslaw, avec sauce, préemballée",39,"0,03","1,3",< 20,"0,26",29,210,< 20,353,"0,27","2,21","21,6","0,093","14,6",-
salades composées et crudités,"Salade de concombre à la crème/fromage blanc, préemballée",-,-,-,-,-,-,-,-,411,-,-,-,-,-,-
salades composées et crudités,"Salade de lentilles et saucisse fumée, préemballée",-,-,-,-,-,-,-,-,355,-,-,-,-,-,-
salades composées et crudités,"Salade grecque, avec sauce, préemballée",-,-,-,-,-,-,-,-,416,-,-,-,-,-,-
salades composées et crudités,"Salade de riz à la niçoise, avec sauce, préemballée",-,-,-,-,-,-,-,-,300,-,-,-,-,-,-
salades composées et crudités,"Taboulé ou Salade de couscous au poulet, préemballé",18,"0,1","0,8",< 20,"0,32",100,190,< 20,424,"0,65","1,48","< 0,5","0,096","96,5","0,1"
soupes,"Soupe aux lentilles, préemballée à réchauffer",25,"0,17","1,07",4,"0,24",74,144,"16,1",143,"0,61",0,"1,7","0,09",20,"0,12"
soupes,"Soupe à la volaille et aux légumes, préemballée à réchauffer",-,-,-,-,-,-,-,-,700,-,-,-,-,-,"0,11"
soupes,"Soupe aux légumes variés, préemballée à réchauffer",14,"0,02","0,14",< 20,"0,04",19,110,< 20,275,"0,11","0,62","5,75","0,16","39,8","0,052"
soupes,"Soupe de poissons et / ou crustacés, préemballée à réchauffer",130,"0,07","0,61",70,"0,05",80,110,< 20,343,"0,25","0,32","< 0,5","0,032",< 5,"1,35"
soupes,"Soupe aux légumes variés, déshydratée reconstituée",21,"0,03","0,19",1,"0,05","12,5",60,< 20,276,"0,12","0,19","3,28","0,044","8,4","0,029"
soupes,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",16,"0,02","0,17",< 20,"0,04",16,94,< 20,290,"0,13","0,28","7,95","0,23","29,3","0,045"
soupes,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer","7,96","0,069","0,14","0,5","0,057",17,"30,5",< 10,326,"0,1","0,03",-,"0,02",2,"0,02"
soupes,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",1,0,"0,1",-,"0,01",1,15,0,430,-,-,0,"0,01",12,"0,05"
soupes,"Soupe à l'oignon, préemballée à réchauffer",12,"0,054","0,27",-,"0,098",4,28,-,315,"0,25","0,11","0,5","0,02",6,0
soupes,"Soupe aux champignons, préemballée à réchauffer",7,"0,016","0,09","8,4","0,018",12,62,-,312,"0,06","0,24",-,"0,007",1,0
soupes,"Soupe à la carotte, préemballée à réchauffer",15,-,"0,3",-,-,20,140,-,259,-,-,11,"0,08",9,-
soupes,"Soupe à la tomate, préemballée à réchauffer",11,"0,03","0,14",< 20,"0,04",15,130,< 20,259,"0,08","0,69","6,4","0,2","23,8","0,01"
soupes,"Soupe chorba frik, à base de viande et de frik",19,"0,07","0,97",2,"0,31",54,157,"1,4",337,"0,84","0,6","3,2","0,07",16,"0,11"
soupes,"Soupe minestrone, préemballée à réchauffer","33,3","0,11","0,56",1,"0,11","34,5",106,"< 2,2",300,"0,19","0,67","1,25","0,071",10,0
soupes,"Soupe au pistou, déshydratée reconstituée",19,"0,1","0,4",1,"0,1",24,132,"2,2",256,"0,19","0,2",7,"0,07",18,-
soupes,"Soupe de poissons et / ou crustacés, déshydratée reconstituée",-,-,-,-,-,0,"0,01",-,253,-,-,-,-,-,-
soupes,"Soupe asiatique, avec pâtes, déshydratée reconstituée",-,-,-,-,-,-,"37,8",-,334,-,-,-,-,-,-
soupes,"Soupe marocaine, déshydratée reconstituée",-,-,-,-,-,-,"80,5",-,318,-,-,-,-,-,-
soupes,"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",-,-,-,-,-,"0,013","0,023",-,292,-,-,30,-,-,-
soupes,"Soupe à la volaille et aux légumes, déshydratée reconstituée",-,-,-,-,-,-,-,-,292,-,-,3,"0,03",8,-
soupes,"Bouillon de boeuf, déshydraté reconstitué","5,25","0,041","0,15",-,"0,027","0,01","0,01",0,290,"0,048","0,01",0,"0,0083","1,75","0,065"
soupes,"Soupe aux asperges, déshydratée reconstituée",-,-,-,-,-,"0,015","0,035",-,303,-,-,-,-,10,-
soupes,"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",-,-,-,-,-,-,-,-,307,-,-,20,-,-,-
soupes,"Soupe aux céréales et aux légumes, déshydratée reconstituée","12,5",-,"0,29",-,-,-,94,-,312,-,-,"3,84","0,07","16,8",-
soupes,"Soupe à la tomate, déshydratée reconstituée",11,"0,03","0,14",< 20,"0,04",10,65,< 20,278,"0,1","0,25","< 0,5","0,027","6,85","0,14"
soupes,"Soupe aux champignons, déshydratée reconstituée",10,"0,02","0,02",< 20,"0,03","9,51",48,< 20,311,"0,07","0,24","< 0,5","0,033","8,25","0,028"
soupes,"Soupe à l'oignon, déshydratée reconstituée",20,"0,043",-,1,"0,043","0,01","56,7","< 3,35",318,"0,083",-,-,-,-,-
soupes,"Soupe au potiron, préemballée à réchauffer",15,"0,03","0,14",< 20,"0,04",17,130,< 20,256,"0,13","0,51","< 0,5","0,065","9,35","0,036"
